,game_name,seller,raiting,game_price,raiting_amount,offers,size_app,age,number_in_category,category
576,Solitaire Cash,Papaya Gaming LTD,4.6,4.99,188300.0,0,392400000.0,17,1,Card
577,Card Shark Collection‪™‬,Easy 8 Software,4.7,2.99,12200.0,0,47300000.0,12,21,Casino
578,Choice of Life Middle Ages,Aleksey Evdokimov,5.0,0.0,4.0,0,236800000.0,12,81,Card
579,Spider Solitaire Pro‪!‬,"Maple Media Holdings, LLC",4.7,0.0,847.0,0,79100000.0,4,87,Card
580,Heck Deck,Plug In Digital,5.0,0.0,1.0,0,53400000.0,4,25,Card
581,Phase 10 Score Sheet,Daniel Ebert,2.7,3.99,3.0,0,15200000.0,4,78,Card
582,Wizard,Sean O'Connor,3.0,2.99,43.0,0,43900000.0,4,34,Card
583,Hearts Premium,Optime Software LLC,4.6,1.99,1600.0,0,65099999.99999999,4,53,Card
584,Headbands - Top Party Charades,David Kadlcek,4.6,3.99,2300.0,0,26400000.0,4,62,Word
585,Spades ‪*‬,FIOGONIA LIMITED,4.6,0.0,305200.0,1,158200000.0,12,35,Family
586,5 Second Rule: Drinking Games,Boris Mikic,4.4,1.99,1200.0,1,22400000.0,17,54,Word
587,Spades Score (RN‪)‬,Dominic Sherman,4.2,0.0,23.0,1,10200000.0,4,64,Card
588,Meteorfall: Krumit's Tale,Eric Farraro,4.5,2.99,215.0,0,507600000.0,12,29,Card
589,Blackjack & Card Counting Pro,Blackjack Apprenticeship,4.8,0.0,5100.0,0,70300000.0,17,1,Casino
590,Mortal Kombat,Warner Bros. Entertainment,4.6,2.99,136600.0,1,1500000000.0,17,20,Card
591,Blackbird‪!‬,Robert Wilson,4.7,4.99,5900.0,1,18000000.0,4,8,Casino
592,Cash Tornado™ Slots - Casino,Zeroo Gravity Games LLC,4.7,1.99,73400.0,0,284100000.0,17,40,Casino
593,Pocket7Games: Win Cash,Aviagames Inc.,4.5,0.0,71200.0,0,308800000.0,17,10,Casino
594,Bingo Bling: Real Cash Money,Game Story ltd,4.8,0.0,36700.0,1,412100000.0,17,11,Casino
595,Learn Poker,Jelle Van den Eynde,4.4,0.0,76.0,1,43400000.0,4,20,Casino
596,Solitaire – Classic Card Games,Easybrain Ltd,4.6,0.0,208700.0,0,187300000.0,12,19,Card
597,Fisherman Cards Game,Ciro Manna,4.6,0.0,46.0,0,80100000.0,9,80,Card
598,Poker Face: Texas Holdem Live,Comunix Ltd,4.7,0.0,29400.0,0,291200000.0,17,80,Card
599,Jackpot Master™ Slots-Casino,Zeroo Gravity Games LLC,4.7,0.0,46800.0,0,300900000.0,17,32,Casino
600,Quick Hit Slots - Casino Games,Appchi Media Ltd,4.8,0.0,286200.0,0,248800000.0,17,15,Casino
601,Hearts - Card Game Classic,FIOGONIA LIMITED,4.6,0.0,186000.0,0,194100000.0,4,63,Family
602,GODDESS OF VICTORY: NIKKE,PROXIMA BETA PTE.LIMITED,4.7,0.0,22900.0,0,282700000.0,12,24,Card
603,Blackjack Strategy Practice,WFT Productions LLC,4.7,0.0,315.0,1,63000000.0,17,3,Casino
604,Dream Quest,Peter M Whalen,4.6,0.0,285.0,1,162100000.0,9,17,Card
605,TCGplayer,"TCGplayer, Inc.",3.0,1.99,1000.0,1,66000000.0,4,94,Card
606,PokerCruncher - Advanced Odds,"PokerCruncher, LLC",4.9,0.0,187.0,1,5000000.0,12,7,Casino
607,WSOP Poker: Texas Holdem Game,Playtika LTD,4.4,0.0,242300.0,1,453800000.0,17,8,Casino
608,Charades!‪™‬,FatChicken Studios,4.3,2.99,7300.0,1,55200000.0,4,25,Word
609,Spite & Malice,WildCard Classics Inc,4.7,2.99,4400.0,0,108800000.0,4,5,Casino
610,Ignite Classic Slots-Casino,"Mobee Co., Ltd.",4.7,0.0,21000.0,0,242300000.0,17,56,Casino
611,Zachtronics Solitaire,Metaversal Studios,4.5,12.99,23.0,0,289800000.0,4,69,Card
612,Stacklands‪®‬,guoyi wang,2.6,0.0,8.0,1,967000000.0,4,59,Card
613,"MPL: Money Games, Pool & Bingo",M-LEAGUE PTE LTD.,4.6,2.99,21600.0,0,328700000.0,17,93,Card
614,Club Vegas Slots - VIP Casino,"Bagelcode, Inc.",4.8,4.99,74000.0,0,318900000.0,17,62,Casino
615,أربعة - لعبة بلو‪ت‬,Artificial Algorithms Limited,4.0,0.99,95.0,1,19200000.0,4,86,Card
616,Baraja de Loteria Mexicana,Alan Salinas,4.7,1.99,11800.0,0,47400000.0,12,45,Family
617,Cashman Casino Las Vegas Slots,"Product Madness, Inc",4.6,4.99,163700.0,0,327200000.0,17,19,Casino
618,King's Corner,"Bitpress, LLC",4.4,0.0,12.0,0,1100000.0,4,54,Card
619,Pine Tar Poker,BJ Malicoat,5.0,0.0,24.0,0,177600000.0,9,16,Casino
620,Meme Challenge: Dank Memes,MAGLAB OYUN TEKNOLOJILERI BILISIM YAZILIM TASARIM YAYINCILIK TICARET A S,4.6,0.0,20400.0,1,374600000.0,9,3,Card
621,FreeCell Solitaire Card Game,Mobilityware,4.8,0.0,375600.0,0,260400000.0,4,89,Card
622,FreeCell,Mobilityware,4.8,0.99,18900.0,0,233800000.0,4,18,Casino
623,Classic Slots™ - Casino Games,Slots Limited,4.9,7.99,276700.0,0,280600000.0,17,44,Casino
624,Succession - Rack-O style game,Luke Kazmierowicz,3.4,4.99,32.0,0,37900000.0,4,70,Card
625,Card Evolution: TCG hyper game,HOMA GAMES,4.7,0.0,16900.0,0,218900000.0,4,56,Card
626,Phase 10: World Tour,Mattel163 Limited,4.8,0.0,358200.0,0,343000000.0,4,8,Card
627,Morels,MOSSBARK GAMES LLC,4.9,0.0,396.0,0,192500000.0,4,64,Card
628,Hyper Cards,PlayEmber Sp. z o.o.,4.7,0.0,18600.0,1,390600000.0,12,71,Card
629,Threes‪!‬,Sirvo LLC,4.0,4.99,2900.0,1,97800000.0,4,16,Card
630,SET® Mania,PlayMonster LLC,3.4,6.99,54.0,1,54900000.0,4,36,Card
631,Yu-Gi-Oh! Master Duel,"Konami Digital Entertainment Co., Ltd.",4.9,0.0,42000.0,0,205800000.0,12,53,Card
632,Jackpot Party - Casino Slots,"Phantom EFX, Inc.",4.5,0.0,173800.0,0,220000000.0,17,29,Casino
633,Slay the Spire,"Humble Bundle, Inc.",4.1,0.0,2100.0,0,1000000000.0,12,3,Card
634,myVEGAS Slots – Casino Slots,"Playstudios, Inc.",4.6,0.0,172400.0,0,210700000.0,17,59,Casino
635,Spider (Simple & Classic‪)‬,Duncan Crawbuck,4.1,0.0,82.0,0,1200000.0,4,74,Card
636,Touch Rummy,Alwin Troost,4.3,0.0,29.0,0,8300000.000000001,4,96,Card
637,Solitaire (Classic Card Game‪)‬,"Staple Games, LLC",4.8,0.0,464300.0,0,46000000.0,4,96,Card
638,Charades - Best Party Game,Dmytro Cheverda,4.8,0.0,27900.0,0,23100000.0,4,11,Word
639,Blackjack 21: Blackjackist,KamaGames,4.7,3.99,92700.0,0,306500000.0,17,42,Casino
640,Shards of Infinity,Temple Gates Games LLC,4.1,0.0,69.0,1,210300000.0,9,76,Card
641,MARVEL SNAP,Nuverse (Hong Kong) Limited,4.8,7.99,54400.0,0,236400000.0,9,9,Card
642,7 Wonders,repos production,3.1,0.0,436.0,1,204100000.0,4,27,Card
643,Texas Hold’em,Apple Inc.,4.7,0.0,59300.0,1,1500000000.0,17,47,Casino
644,Poker Heat: Texas Holdem Poker,Playtika LTD,4.8,0.0,99000.0,0,234800000.0,17,50,Casino
645,Blitz Games - Win Real Cash,VLB,4.6,0.0,88600.0,1,396700000.0,17,3,Casino
646,Reigns: Her Majesty,"Devolver Digital, Inc.",4.8,0.0,14700.0,0,195600000.0,12,42,Card
647,Lottery Scratchers,App Happy Games LLC,4.3,2.99,18400.0,0,185700000.0,17,61,Casino
648,Slotomania™ Slots Vegas Casino,Playtika LTD,4.6,2.99,435300.0,0,288600000.0,17,28,Casino
649,Decked Builder,Tan Thor Jen,3.4,9.99,246.0,0,40000000.0,9,61,Card
650,FreeCell ▻ Solitaire ‪+‬,"PeopleFun CG, LLC",4.8,0.0,1100.0,0,80300000.0,12,23,Casino
651,6 takes‪!‬,Application Systems Heidelberg Software GmbH,4.6,1.99,24.0,0,132400000.0,4,83,Card
652,Dawncaster: Deckbuilding RPG,Rick van der Wal,4.7,3.99,254.0,1,574800000.0,9,9,Card
653,HATSUNE MIKU: COLORFUL STAGE‪!‬,SEGA CORPORATION,4.8,0.0,72100.0,0,413800000.0,9,10,Music
654,The Card Table,Porter Hoskins,1.0,6.99,1.0,0,8600000.0,4,95,Card
655,Cash Club Casino - Vegas Slots,SpinX Games Limited,4.8,2.99,2500.0,0,240000000.0,17,32,Casino
656,UNO!‪™‬,Mattel163 Limited,4.7,4.99,415600.0,0,549700000.0,4,1,Family
657,Conquian 333‪+‬,Alejandro Garcia,4.2,3.99,280.0,0,827900000.0,4,13,Card
658,21 Cash,Papaya Gaming LTD,4.7,3.99,11000.0,0,249700000.0,17,43,Casino
659,Rogue Cards,Ivan Khokhlenkov,4.8,0.0,65.0,0,58700000.0,12,72,Card
660,Hand and Foot Card Game,Ivar Chan,2.9,0.0,74.0,0,28000000.0,4,67,Card
661,Monmusu Gladiator,TAKAHIRO ITO,0.0,0.99,0.0,0,562300000.0,12,92,Card
662,Monster Train,Gambitious BV,4.7,0.0,165.0,0,558700000.0,12,6,Card
663,Solitaire 3D Fish,Playdayy Technologies Pte. Ltd.,4.6,1.99,17800.0,0,170500000.0,4,68,Card
664,Evil Apples: Funny as ___‪_‬,Evil Studios Limited,4.8,1.99,209300.0,0,170200000.0,17,50,Word
665,Skip-Bo,Mattel163 Limited,4.9,7.99,66900.0,1,309600000.0,4,6,Card
666,Magic: The Gathering Arena,Wizards of the Coast LLC,4.6,0.0,81400.0,1,936800000.0,12,62,Card
667,PokerStars Poker Real Money,Stars Mobile Limited,4.4,1.99,19900.0,0,248300000.0,17,55,Casino
668,Cash Frenzy™ - Slots Casino,SpinX Games Limited,4.7,0.0,256899.0,1,291400000.0,17,33,Casino
669,Spider Solitaire: Card Game,Mobilityware,4.8,0.0,645900.0,1,252600000.0,4,26,Casino
670,Lightning Link Casino Slots,"Product Madness, Inc",4.3,0.0,32800.0,1,289500000.0,17,30,Casino
671,Rummy ‪+‬,Eryod Soft,2.3,0.0,15.0,1,59700000.0,4,94,Card
672,Phase 10 Scoring,Dustin Weise,1.0,0.0,1.0,0,1900000.0,4,84,Card
673,Spades Pro,Optime Software LLC,4.7,0.0,1300.0,0,70600000.0,4,56,Card
674,iPitch,Jonathan Hebert,2.8,0.0,38.0,0,26200000.0,4,66,Card
675,Lucky Lottery Scratchers,41 Games,4.7,0.0,51100.0,1,229800000.0,17,22,Casino
676,Solitaire by MobilityWare,Mobilityware,4.8,1.99,116900.0,0,234500000.0,4,2,Casino
677,Evil Minds: Dirty Charades‪!‬,Evil Studios Limited,4.4,0.99,182.0,0,46000000.0,17,9,Word
678,Golf Card Game HD,David Olea,2.6,0.99,95.0,1,37400000.0,4,71,Card
679,Hand (Rummy‪)‬,Yousef Alhusayan,4.1,0.0,215.0,0,45700000.0,4,15,Card
680,Dog Board Game,Value from Software LLC,4.8,0.0,20.0,0,6300000.0,4,65,Card
681,Friday - by Friedemann Friese,Brettspielwelt GmbH,4.6,2.99,314.0,0,112500000.0,4,92,Card
682,Solitaire Classic - Classic,games mint,4.9,3.99,10200.0,0,209500000.0,4,37,Card
683,Lost Portal CCG,Michael Camilli,4.5,0.0,266.0,0,260500000.0,9,46,Card
684,Poké TCG Scanner Dragon Shield,ARCANE TINMEN APS,4.6,0.99,9700.0,1,74200000.0,4,77,Card
685,Solitairica,Righteous Hammer Games Inc.,4.5,0.0,439.0,0,181500000.0,9,11,Card
686,Heads Up‪!‬,Warner Bros. Entertainment,4.8,0.0,135900.0,0,227300000.0,12,1,Card
687,Spades Royale - Card Game,Beach Bum Ltd.,4.8,6.99,157500.0,0,522600000.0,17,98,Card
688,Solitaire City (Ad Free‪)‬,Digital Smoke,4.6,0.0,3900.0,1,39000000.0,4,10,Casino
689,Double Win Slots Casino Game,Barns Entertainment Limited,4.9,0.0,367400.0,0,294200000.0,17,44,Casino
690,Vegas Friends - Casino Slots,SpinX Games Limited,4.7,0.0,12500.0,1,395700000.0,17,37,Casino
691,Live Play Bingo: Real Hosts‪!‬,Live Play Mobile Inc,4.8,0.0,26200.0,1,515600000.0,17,46,Casino
692,Caesars Slots: Casino Games,Playtika LTD,4.6,0.0,114000.0,1,262300000.0,17,57,Casino
693,Solebon Solitaire - 50 Games,Solebon LLC,4.8,0.0,28400.0,1,176100000.0,4,27,Casino
694,Governor of Poker 2 Premium,Youda Games Holding B.V.,4.4,2.99,2100.0,1,100100000.0,17,11,Casino
695,Castles board game,Bastiaan Modderkolk,4.8,0.0,16.0,1,268700000.0,4,97,Card
696,Rush Royale: Tower Defense TD,My.com B.V.,4.5,1.99,45400.0,0,774200000.0,4,17,Card
697,"DICY, Scoresheet for YAHTZEE‪®‬",Sweetstone,3.0,0.0,3.0,1,9700000.0,4,39,Casino
698,Huge Win Slots！Casino Games,"Shanghai Joy Mania Network Technology Co., Ltd",4.7,0.0,21200.0,0,696800000.0,17,93,Casino
699,Solitaire Cube - Win Real Cash,"Tether Studios, LLC",4.6,0.0,90100.0,1,332300000.0,17,76,Casino
700,Gin Rummy Best Card Game,GR GIN RUMMY AND GAMES LTD,4.5,2.99,183200.0,0,134300000.0,12,79,Casino
701,Bingo Machine - Number Caller,Anthony Mayo,4.7,1.99,18.0,0,12500000.0,4,34,Casino
702,Video Poker Trainer,Ron Schweitzer,4.0,0.0,22.0,0,8900000.0,4,41,Casino
703,Shut the Box Classic,Eugene Khmelevsky Inc.,5.0,0.99,1.0,0,32500000.0,4,38,Casino
704,Eric's FreeCell Solitaire Pack,Eric Snider,4.8,2.99,645.0,0,46600000.0,4,37,Casino
705,Vegas Pool Sharks HD,RESETgame,4.0,4.99,17.0,0,3300000.0,12,87,Casino
706,Spider ▻ Solitaire ‪+‬,"PeopleFun CG, LLC",4.8,0.0,3800.0,0,82200000.0,12,30,Casino
707,▻ Solitaire ‪+‬,"PeopleFun CG, LLC",4.8,0.99,3900.0,0,72700000.0,12,31,Casino
708,Case Opener Ultimate - Offline,Alex Shibkov,3.5,0.0,13.0,0,111600000.0,12,40,Casino
709,Casino Craps Pro 3D,MMW Apps,4.3,2.99,79.0,0,22100000.0,17,48,Casino
710,Blackjack by Card Coach,Orange Cat Digital LLC,4.0,0.0,8.0,1,38600000.0,17,46,Casino
711,Spanish 21 Multi-Hand +HD,Pepper Dog Soft LLC,4.3,0.0,15.0,1,48000000.0,17,52,Casino
712,FreeCell Solitaire Pro ‪▻‬,nerByte GmbH,4.7,1.99,60.0,0,54200000.0,4,59,Casino
713,Real Money Word Search Skillz,ePlay Studios LTD,4.4,3.99,13000.0,0,181600000.0,17,75,Casino
714,Poker Tournament Blind Timer,digitalsirup GmbH,4.0,1.99,1.0,1,8500000.0,12,91,Casino
715,Poker Odds Teacher,"PokerCruncher, LLC",4.4,1.99,26.0,1,1600000.0,12,79,Casino
716,iBingo Caller - Play Bingo at Home with Friends‪!‬,SyGem Limited,2.4,1.99,7.0,1,29000000.0,17,89,Casino
717,Photo Slots,Lenco Software LLC,3.7,3.99,3.0,0,10300000.0,17,80,Casino
718,麻将茶馆 HD Mahjong Tea House,Pharose eSolutions Inc,4.7,4.99,7.0,1,94200000.0,17,56,Casino
719,Hold'em Odds Quizzer,"PokerCruncher, LLC",4.9,1.99,14.0,0,1700000.0,12,84,Casino
720,Best Slots Machine Classic Pro,Makeover Mania Story Games LLC,5.0,2.99,12.0,0,54100000.0,17,47,Casino
721,Tournament Cruncher (ICM‪)‬,"PokerCruncher, LLC",4.8,0.0,13.0,0,889900.0,12,50,Casino
722,Poker With Bob,Scary Robot Productions,4.2,0.0,79.0,0,122200000.0,17,54,Casino
723,Backgammon Masters,2KB LLC,3.6,0.0,112.0,0,721100000.0,12,82,Casino
724,Bunco Classic,Eugene Khmelevsky Inc.,5.0,0.0,1.0,1,16900000.0,12,24,Casino
725,Texas Hold'em Poker: Pokerist,KamaGames,4.6,0.99,39300.0,0,309400000.0,17,91,Casino
726,ESP Trainer,Russell Targ,4.4,1.99,257.0,1,16399999.999999998,4,6,Casino
727,Bid Wars 2 – Pawn Shop Tycoon,By Aliens Limited,4.6,0.0,33000.0,0,230400000.0,17,43,Casino
728,Hardwood Hearts Pro,Silver Creek Entertainment,4.7,0.99,42.0,1,61500000.0,17,97,Casino
729,Pachinko,On-Core Software LLC,4.8,0.99,4.0,0,32500000.0,4,64,Casino
730,Wild Tri-Peaks,Patrick Hardie,4.6,0.99,7.0,0,50300000.0,4,76,Casino
731,Bad Match,buero bewegt gmbh co kg,4.7,0.99,86.0,0,25600000.0,4,55,Casino
732,DraftKings Casino: Real Money,DRAFTKINGS LLC.,4.7,0.0,28200.0,0,196600000.0,17,16,Casino
733,Texas Poker: Pokerist Pro,KamaGames,4.1,9.99,233.0,1,302200000.0,17,65,Casino
734,Roulette Tracker‪!‬,Rohn Media GmbH,0.0,0.0,0.0,0,3600000.0,17,52,Trivia
735,Blackjack 21 Multi-Hand (Pro‪)‬,Pepper Dog Soft LLC,4.7,0.0,45.0,0,48300000.0,17,83,Casino
736,Tapme - friends Decisions,Hussain Barakat,2.0,0.99,4.0,0,10600000.0,4,33,Casino
737,Kings of Kout ملوك الكو‪ت‬,Yousef Alhusayan,3.0,0.99,9.0,0,42500000.0,9,95,Casino
738,Black Jack Strategy Assistant,Klaas Kremer,0.0,0.0,0.0,1,28900000.0,12,70,Casino
739,Backgammon Guru Pro,"BPS Software, Inc.",1.8,0.0,9.0,0,24600000.0,4,97,Casino
740,Solitaire Win Cash,ALPINE ASH FOUNDATION LIMITED,4.2,0.0,66.0,0,222100000.0,17,67,Casino
741,Liberty Slots,"LIFETO, LLC",4.0,0.0,4.0,0,695000000.0,17,57,Casino
742,Learn Pro Blackjack Trainer,"Captivate Labs, Inc.",4.4,0.0,92.0,1,42000000.0,17,60,Casino
743,Lucky Match - Win Real Money,"Big Win Games, LLC",4.5,0.0,28800.0,1,413400000.0,17,36,Casino
744,POP! Slots ™ Live Vegas Casino,"Playstudios, Inc.",4.7,3.99,57200.0,0,222400000.0,17,78,Casino
745,myVEGAS Bingo - Bingo Games,"Playstudios, Inc.",4.7,0.0,35800.0,0,311800000.0,17,64,Casino
746,PokerCruncher - Basic - Odds,"PokerCruncher, LLC",4.5,0.0,8.0,0,4900000.0,12,93,Casino
747,Rook‪+‬,"fishdog.net, LLC",4.8,0.0,158.0,0,29100000.0,4,51,Casino
748,Bubble Cash,Papaya Gaming LTD,4.6,0.0,76100.0,0,424200000.0,17,6,Casino
749,Prizes by GAMEE: Money Games,Gamee Mobile,4.6,0.0,15100.0,0,374600000.0,17,77,Casino
750,iFruitBomb - The Fruit Machine Simulator,Idor Interactive Ltd.,5.0,0.0,1.0,0,17000000.0,17,100,Casino
751,Solitaire Pro,Optime Software LLC,3.8,0.0,13.0,0,37600000.0,4,65,Casino
752,MONOPOLY Slots - Slot Machines,"Phantom EFX, Inc.",4.9,0.0,132300.0,0,203600000.0,17,96,Casino
753,DoubleU Casino™ - Vegas Slots,"DoubleUGames Co., Ltd.",4.3,0.0,51600.0,1,176400000.0,17,82,Casino
754,Bingo Party - Slots Bingo Game,"Dataverse Co.,Limited",4.6,1.99,159600.0,0,212700000.0,12,94,Casino
755,Sic Bo / Hi-Lo,Pepper Dog Soft LLC,4.1,1.99,7.0,1,16000000.0,17,99,Casino
756,Slot Machine‪+‬,Apostek Software,3.1,0.0,15.0,0,139600000.0,17,73,Casino
757,Jackpot Crush - Casino Slots,SpinX Games Limited,4.6,9.99,9400.0,0,263900000.0,17,85,Casino
758,Classic Blackjack: 21 Casino,WildCard Games Inc,4.6,0.0,166.0,0,219300000.0,17,86,Casino
759,Magic Vegas Casino,"SHENZHEN SEEME NETWORK TECHNOLOGY CO.,LTD",4.8,4.99,1900.0,0,182300000.0,17,92,Casino
760,bingo!‪!‬,Alvaro Murillo del Puerto,4.7,12.99,67.0,0,99200000.0,4,19,Casino
761,Pinochle Gold,"fishdog.net, LLC",4.7,11.99,1200.0,0,55100000.0,4,49,Casino
762,Grand Cash Casino Slots Games,GAMEHAUS LIMITED,4.8,0.0,46400.0,1,157700000.0,17,54,Casino
763,⋆Solitaire‪+‬,Brainium Studios LLC,4.7,2.99,7800.0,0,441000000.0,4,72,Casino
764,Double Rich！Vegas Casino Slots,GAMEHAUS LIMITED,4.7,0.99,82200.0,1,352300000.0,17,81,Casino
765,Card Counter,TMSOFT,4.6,0.0,99.0,0,45000000.0,4,32,Casino
766,Heads Up: Hold'em  (1-on-1 Poker‪)‬,"Headlight Software, Inc.",2.9,0.0,25.0,1,23000000.0,17,76,Casino
767,Sex Dice 3D -Love game‪-‬,Gregory BAL,2.8,0.0,6.0,0,29600000.0,17,74,Casino
768,Aw Craps‪!‬,24x7digital LLC,3.6,4.99,142.0,0,25100000.0,17,4,Casino
769,Blackjack Strategy‪+‬,bpm apps LLC,4.5,0.0,40.0,1,1400000.0,17,86,Casino
770,Big Bang Trivia,Wirescape Studios LLC,4.9,0.0,9.0,1,480800000.0,12,42,Trivia
771,Backgammon HD,WildCard Classics Inc,4.6,5.99,2500.0,0,120500000.0,4,28,Casino
772,Coin Dozer,Game Circus LLC,4.6,0.0,84800.0,0,317700000.0,17,25,Casino
773,BVS Solitaire Collection,BVS Development Corporation,4.7,0.99,324.0,0,50100000.0,4,94,Casino
774,Bingo Tour: Win Real Cash,Aviagames Inc.,4.9,2.99,71300.0,0,292400000.0,17,7,Casino
775,Texas Tea,"Snakehead Software, LLC",3.5,0.0,10.0,1,15000000.0,4,90,Casino
776,FanDuel Casino - Real Money,FanDuel Limited,4.8,1.99,36100.0,0,132600000.0,17,27,Casino
777,BlackJack Teacher Pro (21 Pro‪)‬,Pepper Dog Soft LLC,5.0,4.99,2.0,0,17100000.0,17,62,Casino
778,Video Poker Pay Tables,"Action Gaming, Inc.",3.3,0.0,7.0,0,185200000.0,17,46,Casino
779,Spider Solitaire MobilityWare,Mobilityware,4.8,0.99,34800.0,0,215100000.0,4,35,Casino
780,Learn Craps Yo,"Craps Education, LLC",3.4,0.0,9.0,0,37900000.0,17,67,Casino
781,Gold Fish Casino Slot Games,"Phantom EFX, Inc.",4.8,0.0,290100.0,0,214300000.0,17,51,Casino
782,Casino Roulette: Roulettist,KamaGames,4.7,0.0,16100.0,0,283400000.0,17,83,Casino
783,Cash Craze,Casual Joy Limited,4.9,0.0,1700.0,0,358300000.0,17,89,Casino
784,Tap Roulette PRO: Shocking Zap,Lucas Yamashita,3.0,0.0,4.0,0,38000000.0,4,22,Casino
785,PokerTimer Professional,Birdsoft LLC,4.7,0.0,18.0,0,4800000.0,4,69,Casino
786,Solitaire Smash: Win Cash,"Appsolyut,tov",4.8,0.0,2500.0,1,231900000.0,17,74,Casino
787,BetRivers Sportsbook & Casino,Rush Street Interactive LLC,4.4,0.0,88.0,1,75600000.0,17,72,Casino
788,Jackpot Magic Slots™ & Casino,"Big Fish Games, Inc",4.6,0.0,198700.0,1,139600000.0,17,90,Casino
789,Offline Poker - Texas Holdem,"The Othernet, LLC",4.5,0.0,6400.0,1,207300000.0,17,71,Casino
790,DoubleDown™ Casino -Slots Game,Double Down Interactive LLC,4.6,0.0,548900.0,1,117800000.0,17,21,Casino
791,Vegas Slots - 7Heart Casino,"Phonato Studios, Inc.",4.9,0.0,63400.0,1,217100000.0,17,94,Casino
792,The Price Is Right: Bingo‪!‬,Clipwire Games Inc.,4.9,0.0,879.0,1,201000000.0,17,60,Casino
793,Microsoft Solitaire Collection,Microsoft Corporation,4.7,0.0,177300.0,0,180200000.0,4,93,Casino
794,Words to Win: Earn Money Game,Rewardify Inc.,4.5,0.99,42500.0,0,361000000.0,17,34,Casino
795,"Skill Cash: Solitaire, Match 3",Winkel Limited,3.7,0.99,66.0,0,187400000.0,17,82,Casino
796,Pokernut Tournament Timer,Toby Ambrose,3.8,0.0,4.0,0,57100000.0,12,93,Casino
797,Poker Odds‪+‬,SHARKFACEPOKER LLC,4.3,0.0,3.0,0,24900000.0,17,66,Casino
798,Custom Prize Wheel,Bandago LLC.,1.9,0.0,8.0,0,55900000.0,12,98,Casino
799,BetMGM Online Casino,"ROAR Digital, LLC",4.7,0.0,46600.0,1,26900000.0,17,36,Casino
800,The Poker Calculator,Harold CHATENET,4.4,4.99,21.0,0,34400000.0,4,86,Casino
801,myKONAMI® Casino Slot Machines,"Playstudios, Inc.",4.6,0.0,235400.0,0,439200000.0,17,98,Casino
802,Fortune Pai Gow,38 Softworks Inc.,4.4,0.0,17.0,1,2900000.0,17,79,Casino
803,Hard Rock Jackpot Casino,"Seminole Hard Rock Digital, LLC.",4.6,0.99,29300.0,0,257900000.0,17,97,Casino
804,Lucky Hit Classic Casino Slots,"GAMINPOWER CO., LIMITED",4.7,0.0,29700.0,1,332000000.0,17,99,Casino
805,Match To Win: Cash Prizes,Rewardify Inc.,4.5,0.0,244900.0,1,447300000.0,17,14,Casino
806,Acey-Deucey,Ventura Educational Systems,1.0,0.0,9.0,1,44100000.0,17,61,Casino
807,Spite & Malice HD,WildCard Classics Inc,4.7,0.0,2500.0,0,69900000.0,4,38,Casino
808,Hard Rock Blackjack & Casino,"Seminole Hard Rock Digital, LLC.",4.7,4.99,6700.0,0,331300000.0,17,69,Casino
809,Win Real Money with Coinnect,2pensmedia Inc.,4.6,0.0,8600.0,1,136300000.0,17,89,Casino
810,Craps Deluxe,Lenco Software LLC,4.4,1.99,49.0,0,14300000.0,17,9,Casino
811,Vegas Pool Watch,RESETgame,5.0,0.0,1.0,0,4800000.0,12,26,Casino
812,Solitaire ‪Ⓞ‬,ME2ZEN Limited,4.7,0.0,390100.0,1,108900000.0,4,72,Casino
813,Solitaire Classic - Klondike‪!‬,Owairakasoft Limited,4.6,0.0,409.0,1,247800000.0,4,44,Casino
814,88 Fortunes Slots Casino Games,"Phantom EFX, Inc.",4.6,0.0,91500.0,0,218300000.0,17,68,Casino
815,MGM Slots Live - Vegas Casino,"Playstudios, Inc.",5.0,0.0,46500.0,0,192700000.0,17,48,Casino
816,All-In Poker,Birdsoft LLC,3.0,0.0,7.0,0,3600000.0,17,68,Casino
817,GamePoint Bingo,GamePoint B.V.,4.7,4.99,2100.0,0,290300000.0,17,66,Casino
818,Bubble Cube 2: Top Pro Shooter,"Tether Studios, LLC",4.8,0.0,2800.0,1,212700000.0,17,99,Casino
819,Bingo of Cash: Win Real Money,Pinecone Limited,4.3,2.99,2000.0,0,195200000.0,17,53,Casino
820,Bingo Caller Machine,App Developers Ltd,3.5,0.0,8.0,1,32000000.0,4,11,Casino
821,Pocket Blackjack,Simon Rybicki,0.0,2.99,0.0,1,2400000.0,4,42,Casino
822,Stick Hero - Tower Defense,ROCKET GO GLOBAL PTE. LTD.,4.4,0.0,3300.0,1,241900000.0,12,17,Strategy
823,aquapark.io,Voodoo,4.6,0.0,2100000.0,1,234700000.0,12,6,Racing
824,Paper.io 2,Voodoo,4.5,0.0,1400000.0,1,336500000.0,12,29,Casual
825,State.io - Conquer the World,AI GAMES FZ LLC,4.5,0.0,108400.0,1,206300000.0,4,26,Strategy
826,Cooking Madness-Kitchen Frenzy,ZenLife Games Pte. Ltd.,4.8,0.0,526700.0,1,416900000.0,9,27,Strategy
827,Clean My Carpet - ASMR Washing,ALICTUS YAZILIM EGITIM BILISIM TEKNOLOJILERI ELEKTRONIK SANAYI VE TICARET A.S.,4.5,0.0,3600.0,1,320100000.0,12,38,Simulation
